Ticker,Emisor,Ley,Moneda de Pago,Precio,TIR,TNA SA,Modified Duration,Duration,Convexidad,Paridad,Current Yield,Calificación,Próxima Fecha de Pago,Fecha de Vencimiento
GD41,Tesoro Nacional,NY,CCL,67.2,10.8,10.5,6,6.3,52.3,66.4,5.2,CCC-,2026-01-09,2041-07-09
GD46,Tesoro Nacional,NY,CCL,68.1,10.2,10,6,6.3,61.6,70.4,5.8,CCC-,2026-01-09,2046-07-09
AL29,Tesoro Nacional,ARG,MEP,66.4,12,11.7,1.7,1.8,4.7,82.7,1.2,CCC-,2026-01-09,2029-07-09
AL30,Tesoro Nacional,ARG,MEP,63.6,12.1,11.8,2.1,2.2,7,79.4,0.9,CCC-,2026-01-09,2030-07-09
AL35,Tesoro Nacional,ARG,MEP,71.3,11.1,10.8,5.6,5.9,39.5,70.3,5.8,CCC-,2026-01-09,2035-07-09
AE38,Tesoro Nacional,ARG,MEP,73.3,11.7,11.4,4.7,5,33.4,72.2,6.8,CCC-,2026-01-09,2038-01-09
AL41,Tesoro Nacional,ARG,MEP,65.7,11.2,10.9,5.9,6.2,51.3,64.9,5.3,CCC-,2026-01-09,2041-07-09
BPBD7,BCRA,ARG,CCL/MEP,97.5,10.9,10.6,0.5,0.5,0.4,97.4,5.1,CCC-,2026-04-30,2026-04-30
BPC7D,BCRA,ARG,CCL/MEP,95.8,8.2,8,1.3,1.4,2.6,95.8,5.2,CCC-,2026-04-30,2027-04-30
BPD7D,BCRA,ARG,CCL/MEP,95.8,7.8,7.7,1.6,1.7,3.5,95.8,5.2,CCC-,2026-04-30,2027-10-30
BA7DD,Provincia Buenos Aires,NY,CCL/MEP,69.1,12,11.7,5.5,5.8,41,68.5,7.6,CCC-,2026-03-01,2037-09-01
BB7DD,Provincia Buenos Aires,NY,CCL/MEP,65.5,13.7,13.3,3.8,4.1,24.8,75.5,8.7,CCC-,2026-03-01,2037-09-01
BC7DD,Provincia Buenos Aires,NY,MEP,,,,,,,,,CCC-,2026-03-01,2037-09-01
BPY6D,BCRA,ARG,CCL/MEP,100.5,3.2,3.2,0.3,0.3,0.2,99.9,3,CCC-,2025-11-28,2026-05-31
